2248.000       	GALV 22GA X 48.000" X COIL    
225.394        	GALV 22GA X 5.394" X COIL     
225.750        	GALV 22GA X 5.750" X COIL     
226            	2" TURN VANE 26GA         100'
226.187        	GALV 22GA X 6.187" X COIL     
226.719        	GALV 22GA X 6.719" X COIL     
226.969        	GALV 22GA X 6.969" X COIL     
2260.000       	GALV 22GA X 60.000" X COIL    
226719         	GALV 22GA X 6.719" X COIL     
226A           	2"TURNING VANE INSTALLED      
226CTL         	2" VANE CUT FOR FITTINGS      
226F           	2" VANE FRAME                 
2272.000       	GALV 22GA X 72.000" X COIL    
22AF           	.050 ALUM FITTINGS FULL ASMBL 
22AK           	.050 ALUMINUM FITTINGS K/D    
22DW1          	22GA GALV 1"DBLWALL FITTINGS  
22DW2          	22GA GALV 2"DBLWALL FITTINGS  
22G9F          	22GA G-90 FITTINGS FULL ASMBL 
22G9K          	22GA G-90 FITTINGS K/D        
22GF           	22GA GALV FITTINGS FULL ASMBL 
22GK           	22GA GALVANIZED FITTINGS K/D  
22MF           	22GA S&D FITTINGS TACK ASSEMB.
22PGF          	22GA PAINT GRIP FTG FULL ASMBL
22PGK          	22GA PAINT GRIP FITTINGS K/D  
22PV4F         	22GA 4X4 PVS FTGS FULL ASMBL  
22PV4K         	22GA 4X4 PVS FITTINGS K/D     
22PVF          	22GA PVS FITTINGS FULL ASMBL  
22PVK          	22GA PVS FITTINGS K/D         
22S6F          	22GA 316 ST STL FTG FULL ASMBL
22S6K          	22GA 316 ST STL FITTINGS K/D  
22SF           	22GA ST STL FTGS FULL ASMBL   
22SK           	22GA ST STL FITTINGS K/D      
22TMF          	22GA TDC FITTINGS TACK ASSEMB.
2410.000       	GALV 24GA X 10.000" X COIL    
2410.500       	GALV 24GA X 10.500" X COIL    
2411.000       	GALV 24GA X 11.000" X COIL    
2411.500       	GALV 24GA X 11.500" X COIL    
2412.000       	GALV 24GA X 12.000" X COIL    
2413.000       	GALV 24GA X 13.000" X COIL    
2414.000       	GALV 24GA X 14.000" X COIL    
2414.500       	GALV 24GA X 14.500" X COIL    
2415.000       	GALV 24GA X 15.000" X COIL    
2416.000       	GALV 24GA X 16.000" X COIL    
2418.000       	GALV 24GA X 18.000" X COIL    
242.125        	GALV 24GA X 2.125" X COIL     
2420.000       	GALV 24GA X 20.000" X COIL    
2423.000       	GALV 24GA X 23.000" X COIL    
243.625        	GALV 24GA X 3.625" X COIL     
244.032        	GALV 24GA X 4.032" X COIL     
244.437        	GALV 24GA X 4.437" X COIL     
2440.321       	GALV 24GA X 40.321" X COIL    
2448.000       	GALV 24GA X 48.000" X COIL    
